zip,city,county_name
98404,Tacoma,Pierce County
98405,Tacoma,Pierce County
98406,Tacoma,Pierce County
98407,Tacoma,Pierce County
98408,Tacoma,Pierce County
98409,Tacoma,Pierce County
98416,Tacoma,Pierce County
98418,Tacoma,Pierce County
98421,Tacoma,Pierce County
98422,Tacoma,Pierce County
98424,Fife,Pierce County
98430,Camp Murray,Pierce County
98433,Tacoma,Pierce County
98438,Mcchord Afb,Pierce County
98439,Lakewood,Pierce County
98443,Tacoma,Pierce County
98444,Tacoma,Pierce County
98445,Tacoma,Pierce County
98446,Tacoma,Pierce County
98447,Tacoma,Pierce County
98465,Tacoma,Pierce County
98466,Tacoma,Pierce County
98467,University Place,Pierce County
98498,Lakewood,Pierce County
98499,Lakewood,Pierce County
98501,Olympia,Thurston County
98502,Olympia,Thurston County
98503,Lacey,Thurston County
98505,Olympia,Thurston County
98506,Olympia,Thurston County
98512,Olympia,Thurston County
98513,Olympia,Thurston County
98516,Olympia,Thurston County
98520,Aberdeen,Grays Harbor County
98524,Allyn,Mason County
98526,Amanda Park,Grays Harbor County
98527,Bay Center,Pacific County
98528,Belfair,Mason County
98530,Bucoda,Thurston County
98531,Centralia,Lewis County
98532,Chehalis,Lewis County
98533,Cinebar,Lewis County
98535,Copalis Beach,Grays Harbor County
98536,Copalis Crossing,Grays Harbor County
98537,Cosmopolis,Grays Harbor County
98538,Curtis,Lewis County
98539,Doty,Lewis County
98541,Elma,Grays Harbor County
98542,Ethel,Lewis County
98544,Galvin,Lewis County
98546,Grapeview,Mason County
98547,Grayland,Pacific County
98548,Hoodsport,Mason County
98550,Hoquiam,Grays Harbor County
98552,Humptulips,Grays Harbor County
98555,Lilliwaup,Mason County
98556,Littlerock,Thurston County
98557,Mccleary,Grays Harbor County
98558,Mckenna,Pierce County
98559,Malone,Grays Harbor County
98560,Matlock,Mason County
98562,Moclips,Grays Harbor County
98563,Montesano,Grays Harbor County
98564,Mossyrock,Lewis County
98565,Napavine,Lewis County
98566,Neilton,Grays Harbor County
98568,Oakville,Grays Harbor County
98569,Ocean Shores,Grays Harbor County
98570,Onalaska,Lewis County
98571,Pacific Beach,Grays Harbor County
98572,Pe Ell,Lewis County
98575,Quinault,Grays Harbor County
98576,Rainier,Thurston County
98577,Raymond,Pacific County
98579,Rochester,Thurston County
98580,Roy,Pierce County
98581,Ryderwood,Cowlitz County
98582,Salkum,Lewis County
98583,Satsop,Grays Harbor County
98584,Shelton,Mason County
98585,Silver Creek,Lewis County
98586,South Bend,Pacific County
98587,Taholah,Grays Harbor County
98588,Tahuya,Mason County
98589,Tenino,Thurston County
98590,Tokeland,Pacific County
98591,Toledo,Lewis County
98592,Union,Mason County
98593,Vader,Lewis County
98595,Westport,Grays Harbor County
98596,Winlock,Lewis County
98597,Yelm,Thurston County
98601,Amboy,Clark County
98602,Appleton,Klickitat County
98603,Ariel,Cowlitz County
98604,Battle Ground,Clark County
98605,Bingen,Skamania County
98606,Brush Prairie,Clark County
98607,Camas,Clark County
98609,Carrolls,Cowlitz County
98610,Carson,Skamania County
98611,Castle Rock,Cowlitz County
98612,Cathlamet,Wahkiakum County
98613,Centerville,Klickitat County
98614,Chinook,Pacific County
98616,Cougar,Skamania County
98617,Dallesport,Klickitat County
98619,Glenwood,Klickitat County
98620,Goldendale,Klickitat County
98621,Grays River,Pacific County
98623,Husum,Klickitat County
98624,Ilwaco,Pacific County
98625,Kalama,Cowlitz County
98626,Kelso,Cowlitz County
98628,Klickitat,Klickitat County
98629,La Center,Clark County
98631,Long Beach,Pacific County
98632,Longview,Cowlitz County
98635,Lyle,Klickitat County
98638,Naselle,Pacific County
98639,North Bonneville,Skamania County
98640,Ocean Park,Pacific County
98641,Oysterville,Pacific County
98642,Ridgefield,Clark County
98643,Rosburg,Wahkiakum County
98644,Seaview,Pacific County
98645,Silverlake,Cowlitz County
98647,Skamokawa,Wahkiakum County
98648,Stevenson,Skamania County
98649,Toutle,Cowlitz County
98650,Trout Lake,Klickitat County
98651,Underwood,Skamania County
98660,Vancouver,Clark County
98661,Vancouver,Clark County
98662,Vancouver,Clark County
98663,Vancouver,Clark County
98664,Vancouver,Clark County
98665,Vancouver,Clark County
98670,Wahkiacus,Klickitat County
